cname,cabr,ccode,year,formalconstit,writconstit,ineffect,cease,amend,amfrmlconv,amexec,amleg,amregprov,rat,ratfrmlconv,ratexec,ratleg,ratref,ratregprov,amyear,leg,legcham,lowcham,upcham,chamother,uppub,upselect,upexec,lowpub,lowselect,lowexec,proppub,propexec,propleg,execveto,legveto,removeexec,removeleg,execforce,exectax,execbudget,court,remove,life,courtexec,courtleg,centralbank,dirterm,bankpol,elecexec,elecleg,elecrefer,exleg,execindep,execappoint,milpm,milpres,milnone,legpm,legpres,legnone,callpm,callpres,callnone,schedexec,schedleg,schedboth,schedna,lpartynom,lprimary,lselfnom,lpetition,lexecnom,epartynom,eprimary,eselfnom,epetition,banned,banethnic,banrelig,bansys,banall,stateparty,suffage,suffgen,suffprop,suffparty,suffethrel,suffcrim,suffreg,suffother,election,electexec,electleg,electboth,legcompet,execcompet,electboy,electprot,postprot,legelig,execelig,estabcon_year,execpocketveto,id,estabcon,ceasedate,legelecdate,exelecdate,rattreaty,appelec,whoby,govstruct,regstruct,bankdir,electtime,elecperiod,reservedseat,reservedby,lelecsystem,eelect,eelectrules,parties,electpost,electdelay,protestpart,lastamend,timeineffect,constage,milother,legother,callother,gwno
United States of America,USA,2,1970,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,46.6,.a,1787,Yes,2 1970,17sep1787,.c,03nov1970,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,2,10,183,0,0,0,2
United States of America,USA,2,1971,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1971,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,3,11,184,0,0,0,2
United States of America,USA,2,1972,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,55.2,55.2,1787,Yes,2 1972,17sep1787,.c,07nov1972,07nov1972,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,0,12,185,0,0,0,2
United States of America,USA,2,1973,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1973,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,1,13,186,0,0,0,2
United States of America,USA,2,1974,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,58.2,.a,1787,Yes,2 1974,17sep1787,.c,05nov1974,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,2,14,187,0,0,0,2
United States of America,USA,2,1975,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1975,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,3,15,188,0,0,0,2
United States of America,USA,2,1976,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,77.59999999999999,77.59999999999999,1787,Yes,2 1976,17sep1787,.c,02nov1976,02nov1976,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,4,16,189,0,0,0,2
United States of America,USA,2,1977,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1977,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,5,17,190,0,0,0,2
United States of America,USA,2,1978,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,76.5,.a,1787,Yes,2 1978,17sep1787,.c,07nov1978,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,6,18,191,0,0,0,2
United States of America,USA,2,1979,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1979,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,7,19,192,0,0,0,2
United States of America,USA,2,1980,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,76.5,76.5,1787,Yes,2 1980,17sep1787,.c,04nov1980,04nov1980,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,8,20,193,0,0,0,2
United States of America,USA,2,1981,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1981,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,9,21,194,0,0,0,2
United States of America,USA,2,1982,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,61.1,.a,1787,Yes,2 1982,17sep1787,.c,02nov1982,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,10,22,195,0,0,0,2
United States of America,USA,2,1983,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1983,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,11,23,196,0,0,0,2
United States of America,USA,2,1984,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,74.59999999999999,74.59999999999999,1787,Yes,2 1984,17sep1787,.c,06nov1984,06nov1984,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,12,24,197,0,0,0,2
United States of America,USA,2,1985,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1985,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,13,25,198,0,0,0,2
United States of America,USA,2,1986,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,54.9,.a,1787,Yes,2 1986,17sep1787,.c,04nov1986,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,14,26,199,0,0,0,2
United States of America,USA,2,1987,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1987,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,15,27,200,0,0,0,2
United States of America,USA,2,1988,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,72.5,72.5,1787,Yes,2 1988,17sep1787,.c,08nov1988,08nov1988,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,16,28,201,0,0,0,2
United States of America,USA,2,1989,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1989,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,17,29,202,0,0,0,2
United States of America,USA,2,1990,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,56,.a,1787,Yes,2 1990,17sep1787,.c,06nov1990,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,18,30,203,0,0,0,2
United States of America,USA,2,1991,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1991,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,19,31,204,0,0,0,2
United States of America,USA,2,1992,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2,435,100,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,78,78.2,1787,Yes,2 1992,17sep1787,.c,03nov1992,03nov1992,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,20,32,205,0,0,0,2
United States of America,USA,2,1993,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1993,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,0,33,206,0,0,0,2
