"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9691155627948","20.1608822207738","23.5943665259027","21.9759572961856","21.8560806275354","21.410594367642","24.5272039569392","25.1510791366906","24.7097844112769","23.1637001754826","23.130393096836","22.6497695852535","21.6620380260628","21.978021978022","25.3744690364409","27.1558775414817","25.9859772129711","28.1022702226141","19.8511166253102","18.2020202020202","17.0493685419059","16.7828216236579","16.6879912264668","","","",
"Afghanistan","AFG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1546327243358","19.1305785372378","21.854259210424","14.3120598095328","16.0290371753303","15.3417224061598","15.5369347037304","16.8146114613451","19.8985903407746","17.042343917732","18.2358605300281","17.8426343702592","21.6219487360425","17.9756599893925","16.4328322487885","13.8806820723169","12.9358215152381","10.474544743401","10.3292801384397","",
"Albania","ALB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","9.3116515041052","8.84353390708875","8.89861279321276","9.09399523742266","9.75153050082957","9.63955140756505","9.61342983715576","9.99617333989332","9.80506206927652","9.13190329724955","19.1885468896252","22.8753325986112","21.4082882933696","14.6384098004022","14.6234019156112","13.8271152568861","9.45360756262286","10.4480734642295","10.8442698256178","11.0556138721917","9.69235791955606","10.6259874787916","11.3350777231701","11.0983969133065","11.2059076895714","11.0312184015481","10.5272493337325","10.4774822838859","10.37896601854","11.1094360972272","11.1573824902648","10.9741932503664","10.8448236223264","11.0254959315846","11.4518361484976","11.1106655221786","11.2692939238419","11.4983728485871","11.2935958761951","11.5239429139583","",
"Andorra","AND","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","17.2961619813526","17.0154875506347","17.3944017171962","18.0318894590713","14.3231653385968","17.2830585279897","18.3429769312447","18.3954684380236","20.5396616948803","18.6893449061209","16.2993055269","19.2481344784385","22.3361497468199","24.377577552801","23.7142945003121","24.2622593712099","26.6124299913058","25.7756933851532","24.1703418035002","24.2320442267723","21.5304161347514","26.6214498212967","22.8529964664457","19.7706797039291","19.7794064107645","19.2124862483392","19.0009754542214","19.9687317630123","22.0515222609375","19.6533367716354","18.7381022330596","18.4429009000511","18.4107694744017","17.124296214275","17.1805503836116","15.6971905684846","15.1113590712284","14.8093008097348","13.5547715295497","16.9924673526151","15.98888416217","15.6704751257853","15.8621497566651","17.2131945142313","18.2872777448194","20.8946110279252","19.7962885191396","18.8943663037154","18.0582170178661","17.9632614863538","",
"United Arab Emirates","ARE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91402351533425","10.146486288123","9.75023354253255","8.74669751420651","7.87259315554192","6.91782205479066","6.73299787689361","7.2968356174588","10.2341429132446","10.0310717748937","9.95331480073706","9.73043954861727","10.9844278863939","10.9318643707181","12.4285782713718","12.5265106295682","13.2119351824425","11.8192185424049","13.2784189512353","",
"Argentina","ARG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","9.88044509523395","7.78963204832989","12.1923745358372","10.2521949603684","7.22902581011462","8.08948631250583","10.8043385563998","9.73927816603499","9.82935062849218","9.50117537009171","9.74254326207249","10.1462160701663","9.3516969606052","11.5393235681285","13.1532327349931","12.5891776401825","9.42009472794214","9.0154099769469","11.1661116653801","11.0078459556516","","","","","","","","4.7144944990421","4.32191028434568","4.49439596541391","3.13542839161188","3.32176128752774","2.97553802761558","13.5103784728742","13.1869043660659","13.3494556774505","12.5016776609201","12.0620142457633","12.4947749986829","13.7232114149469","13.7841913064131","14.1562743129569","12.235247296692","11.4380567929249","11.114636067696","12.1418612359575","12.4294153726307","12.9893238963619","13.6335132595631","15.903896746884","15.1637178886417","15.6889565165983","16.6454378106252","16.8062377968797","16.9498757371062","18.098379759087","17.6545781863509","17.6968939224707","16.3804876104671","15.7710070021571","",
"Armenia","ARM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3064997018485","18.5092232400552","18.5466971855959","17.1936819797033","11.5430460348078","11.3229912230238","11.3430091616755","11.4771831087164","11.2920970499034","12.230469548754","10.7986680994975","10.3413384803578","9.16904182303383","9.38479580771821","9.3562321018201","9.71001179777312","9.26564058035311","9.39819198234112","9.39590568718206","12.2837259772012","12.0437077284519","11.9102932556784","10.9099638916146","11.9350654316666","12.0858534859076","13.1115978061212","13.4541585167703","12.3185519874739","11.4866903221706","12.4720894899747","",
"American Samoa","ASM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
